"A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in Primary cells","A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Pathophysiology of infection, Primary cells, Human",1-1-1-1-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,cellular,Pathophysiology of infection,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in Primary cells","A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Antiviral therapy, Primary cells, Human",1-1-1-2-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Antiviral therapy,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in Primary cells","A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Vaccine, Primary cells, Human",1-1-1-3-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Vaccine,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in Primary cells","A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Diagnostics, Primary cells, Human",1-1-1-4-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Diagnostics,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in Other 3D cell models (ALI)","A Pathophysiology of infection study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Pathophysiology of infection, Other 3D cell models (ALI), Human",1-1-1-1-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Pathophysiology of infection,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in Other 3D cell models (ALI)","A Antiviral therapy study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Antiviral therapy, Other 3D cell models (ALI), Human",1-1-1-2-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Antiviral therapy,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in Other 3D cell models (ALI)","A Vaccine study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Vaccine, Other 3D cell models (ALI), Human",1-1-1-3-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Vaccine,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in Other 3D cell models (ALI)","A Diagnostics study of SARS-CoV-2, strain Wuhan-Hu-1, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Wuhan-Hu-1, Diagnostics, Other 3D cell models (ALI), Human",1-1-1-4-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Wuhan-Hu-1,Cellular,Diagnostics,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,x,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Pathophysiology of infection, Immortalised cells, African Green Monkey",1-1-2-1-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Pathophysiology of infection,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Antiviral therapy, Immortalised cells, African Green Monkey",1-1-2-2-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Antiviral therapy,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Vaccine study of SARS-CoV-2, strain Delta own isolate, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Vaccine, Immortalised cells, African Green Monkey",1-1-2-3-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Vaccine,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Diagnostics, Immortalised cells, African Green Monkey",1-1-2-4-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Diagnostics,Immortalised cells,,African Green Monkey,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Pathophysiology of infection, Immortalised cells, Human",1-1-2-1-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Pathophysiology of infection,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Antiviral therapy, Immortalised cells, Human",1-1-2-2-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Antiviral therapy,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Vaccine study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Vaccine, Immortalised cells, Human",1-1-2-3-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Vaccine,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in Immortalised cells","A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Delta own isolate, Diagnostics, Immortalised cells, Human",1-1-2-4-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Diagnostics,Immortalised cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in Primary cells","A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Delta own isolate, Pathophysiology of infection, Primary cells, Human",1-1-2-1-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Pathophysiology of infection,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in Primary cells","A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Delta own isolate, Antiviral therapy, Primary cells, Human",1-1-2-2-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Antiviral therapy,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Delta own isolate, in Primary cells","A Vaccine study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Delta own isolate, Vaccine, Primary cells, Human",1-1-2-3-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Vaccine,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in Primary cells","A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Delta own isolate, Diagnostics, Primary cells, Human",1-1-2-4-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Diagnostics,Primary cells,,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in Other 3D cell models (ALI)","A Pathophysiology of infection study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Delta own isolate, Pathophysiology of infection, Other 3D cell models (ALI), Human",1-1-2-1-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Pathophysiology of infection,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in Other 3D cell models (ALI)","A Antiviral therapy study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Delta own isolate, Antiviral therapy, Other 3D cell models (ALI), Human",1-1-2-2-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Antiviral therapy,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Delta own isolate, in Other 3D cell models (ALI)","A Vaccine study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Delta own isolate, Vaccine, Other 3D cell models (ALI), Human",1-1-2-3-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Vaccine,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in Other 3D cell models (ALI)","A Diagnostics study of SARS-CoV-2, strain Delta own isolate, in in vitro Human Other 3D cell models (ALI), provided by MUG","SARS-CoV-2, Delta own isolate, Diagnostics, Other 3D cell models (ALI), Human",1-1-2-4-3-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Delta own isolate,Cellular,Diagnostics,Other 3D cell models (ALI),,Human,in vitro,x,x,x,x,x,x,x,,x,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Pathophysiology of infection study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Pathophysiology of infection, Immortalised cells, African Green Monkey",1-1-3-1-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Pathophysiology of infection,Immortalised cells,,African Green Monkey,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Antiviral therapy study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Antiviral therapy, Immortalised cells, African Green Monkey",1-1-3-2-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Antiviral therapy,Immortalised cells,,African Green Monkey,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Vaccine study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Vaccine, Immortalised cells, African Green Monkey",1-1-3-3-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Vaccine,Immortalised cells,,African Green Monkey,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Diagnostics study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro African Green Monkey Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Diagnostics, Immortalised cells, African Green Monkey",1-1-3-4-1-1-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Diagnostics,Immortalised cells,,African Green Monkey,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Pathophysiology of infection study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Pathophysiology of infection, Immortalised cells, Human",1-1-3-1-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Pathophysiology of infection,Immortalised cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Antiviral therapy study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Antiviral therapy, Immortalised cells, Human",1-1-3-2-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Antiviral therapy,Immortalised cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Vaccine study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Vaccine, Immortalised cells, Human",1-1-3-3-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Vaccine,Immortalised cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Diagnostics study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Immortalised cells","A Diagnostics study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Immortalised cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Diagnostics, Immortalised cells, Human",1-1-3-4-1-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Diagnostics,Immortalised cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Pathophysiology of infection study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Primary cells","A Pathophysiology of infection study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Pathophysiology of infection, Primary cells, Human",1-1-3-1-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Pathophysiology of infection,Primary cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Antiviral therapy study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Primary cells","A Antiviral therapy study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Antiviral therapy, Primary cells, Human",1-1-3-2-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Antiviral therapy,Primary cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
"A Vaccine study of SARS-CoV-2, strain Omicron  B.1.1.529 , in Primary cells","A Vaccine study of SARS-CoV-2, strain Omicron  B.1.1.529 , in in vitro Human Primary cells, provided by MUG","SARS-CoV-2, Omicron  B.1.1.529 , Vaccine, Primary cells, Human",1-1-3-3-2-2-1,ERINHA,MUG,Optimized,BSL_3,Coronaviridae ,SARS-CoV-2,Betacoronavirus pandemicum,Omicron  B.1.1.529,Cellular,Vaccine,Primary cells,,Human,in vitro,x,x,,x,x,x,x,,,,x,,x,x,x,x,,x,,,x,x,,x,On request,Provided based on request,TBD,
